ProjectId,ComplexityScore,TotalBlocks,UniqueTargets,ControlBlocks,CustomBlocks
98856393,200.0,348,13,0,0
99554525,200.0,336,16,0,0
98247980,200.0,360,10,0,0
45999482,200.0,352,12,0,0
97872329,200.0,360,10,0,0
99011332,200.0,332,17,0,0
99398800,200.0,340,15,0,0
97922910,200.0,356,11,0,0
98508070,200.0,304,24,0,0
99679674,200.0,300,25,0,0
99773380,200.0,300,25,0,0
99873355,200.0,364,9,0,0
99677377,200.0,348,13,0,0
99460944,200.0,332,17,0,0
98633816,200.0,336,16,0,0
98670966,200.0,348,13,0,0
99600045,200.0,360,10,0,0
97544843,200.0,332,17,0,0
99589345,200.0,352,12,0,0
99080546,200.0,376,6,0,0
99578106,200.0,348,13,0,0
99066148,200.0,332,17,0,0
99529299,200.0,356,11,0,0
99219551,200.0,324,19,0,0
99709586,200.0,340,15,0,0
98532675,200.0,336,16,0,0
98515012,200.0,356,11,0,0
98974195,200.0,332,17,0,0
93939608,200.0,360,10,0,0
98722411,200.0,332,17,0,0
89389212,200.0,296,26,0,0
98498812,199.5,335,16,0,0
97978778,199.5,355,11,0,0
99548524,199.5,339,15,0,0
98898592,199.5,331,17,0,0
99956802,199.5,251,37,0,0
97175120,199.5,347,13,0,0
98184746,199.5,367,8,0,0
95919081,199.5,339,15,0,0
98655442,199.5,311,22,0,0
98604764,199.5,315,21,0,0
97441148,199.5,375,6,0,0
99138496,199.5,347,13,0,0
99308107,199.5,371,7,0,0
99293454,199.5,323,19,0,0
99164039,199.5,355,11,0,0
98842497,199.5,291,27,0,0
98996088,199.5,315,21,0,0
98588740,199.5,319,20,0,0
99264786,199.5,315,21,0,0
95430242,199.5,351,12,0,0
99300340,199.5,363,9,0,0
98435116,199.5,327,18,0,0
99562633,199.5,323,19,0,0
99205967,199.5,327,18,0,0
99461393,199.5,291,27,0,0
99607474,199.5,323,19,0,0
98874812,199.5,287,28,0,0
99527202,199.5,335,16,0,0
99336943,199.5,351,12,0,0
98724760,199.5,379,5,0,0
99675987,199.5,347,13,0,0
99779715,199.5,355,11,0,0
97834421,199.5,363,9,0,0
99562836,199.5,335,16,0,0
99150122,199.5,355,11,0,0
99547158,199.5,319,20,0,0
99656139,199.5,307,23,0,0
99612338,199.5,303,24,0,0
99631380,199.0,326,18,0,0
99287680,199.0,358,10,0,0
99734895,199.0,322,19,0,0
99712861,199.0,366,8,0,0
97302735,199.0,326,18,0,0
99261746,199.0,274,31,0,0
97434837,199.0,362,9,0,0
99071606,199.0,370,7,0,0
99308397,199.0,350,12,0,0
99470294,199.0,338,15,0,0
99580316,199.0,358,10,0,0
99136903,199.0,326,18,0,0
93199415,199.0,350,12,0,0
98638732,199.0,330,17,0,0
99174641,199.0,350,12,0,0
99431571,199.0,318,20,0,0
98641823,199.0,350,12,0,0
